src_node,dest_node,nodesList,distance,linksList,numHops
0,1,"[0, 13, 12, 1]",15.0,"[2, 60, 10]",3
0,1,"[0, 13, 143, 144, 142, 12, 1]",46.0,"[2, 63, 208, 207, 62, 10]",6
0,1,"[0, 16, 17, 2, 11, 1]",48.0,"[5, 67, 16, 15, 9]",5
0,1,"[0, 2, 11, 1]",48.33,"[0, 15, 9]",3
0,1,"[0, 13, 12, 33, 37, 11, 1]",56.0,"[2, 60, 61, 102, 57, 9]",6
0,2,"[0, 13, 12, 1, 11, 2]",29.0,"[2, 60, 10, 9, 15]",5
0,2,"[0, 16, 17, 2]",34.0,"[5, 67, 16]",3
0,2,"[0, 2]",34.33,[0],1
0,2,"[0, 13, 12, 33, 37, 11, 2]",60.0,"[2, 60, 61, 102, 57, 15]",6
0,2,"[0, 13, 143, 144, 142, 12, 1, 11, 2]",60.0,"[2, 63, 208, 207, 62, 10, 9, 15]",8
0,3,"[0, 14, 3]",26.0,"[3, 19]",2
0,3,"[0, 3]",26.1,[1],1
0,3,"[0, 14, 95, 100, 3]",46.0,"[3, 64, 172, 22]",4
0,3,"[0, 13, 12, 1, 31, 35, 18, 3]",51.0,"[2, 60, 10, 12, 98, 71, 20]",7
0,3,"[0, 13, 12, 1, 3]",51.14,"[2, 60, 10, 7]",4
0,4,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 4]",52.12,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 25]",11
0,4,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 4]",54.12,"[2, 60, 10, 12, 92, 73, 74, 44, 42, 25]",10
0,4,"[0, 13, 12, 1, 11, 2, 4]",58.33,"[2, 60, 10, 9, 15, 14]",6
0,4,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 124, 24, 4]",59.12,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 195, 86, 25]",12
0,4,"[0, 16, 17, 2, 4]",63.33,"[5, 67, 16, 14]",4
0,5,"[0, 13, 12, 1, 31, 35, 23, 5]",35.31,"[2, 60, 10, 12, 98, 83, 29]",7
0,5,"[0, 13, 12, 1, 31, 28, 29, 23, 5]",43.31,"[2, 60, 10, 12, 92, 91, 82, 29]",8
0,5,"[0, 14, 3, 18, 35, 23, 5]",62.31,"[3, 19, 20, 71, 83, 29]",6
0,5,"[0, 3, 18, 35, 23, 5]",62.410000000000004,"[1, 20, 71, 83, 29]",5
0,5,"[0, 14, 3, 5]",63.43,"[3, 19, 18]",3
0,6,"[0, 13, 12, 1, 11, 128, 129, 127, 26, 7, 6]",83.0,"[2, 60, 10, 9, 58, 198, 197, 89, 40, 35]",10
0,6,"[0, 13, 12, 1, 11, 129, 127, 26, 7, 6]",84.0,"[2, 60, 10, 9, 59, 197, 89, 40, 35]",9
0,6,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 4, 26, 7, 6]",100.96,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 25, 26, 40, 35]",14
0,6,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 25, 9, 6]",102.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 85, 47, 36]",13
0,6,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 4, 26, 7, 6]",102.95999999999998,"[2, 60, 10, 12, 92, 73, 74, 44, 42, 25, 26, 40, 35]",13
0,7,"[0, 13, 12, 1, 11, 128, 129, 127, 26, 7]",63.0,"[2, 60, 10, 9, 58, 198, 197, 89, 40]",9
0,7,"[0, 13, 12, 1, 11, 129, 127, 26, 7]",64.0,"[2, 60, 10, 9, 59, 197, 89, 40]",8
0,7,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 4, 26, 7]",80.96,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 25, 26, 40]",13
0,7,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 4, 26, 7]",82.95999999999998,"[2, 60, 10, 12, 92, 73, 74, 44, 42, 25, 26, 40]",12
0,7,"[0, 16, 17, 2, 11, 128, 129, 127, 26, 7]",86.0,"[5, 67, 16, 15, 58, 198, 197, 89, 40]",9
0,8,"[0, 13, 12, 1, 31, 28, 19, 30, 8]",34.0,"[2, 60, 10, 12, 92, 73, 74, 44]",8
0,8,"[0, 13, 12, 1, 31, 35, 23, 29, 28, 19, 30, 8]",58.0,"[2, 60, 10, 12, 98, 83, 82, 91, 73, 74, 44]",11
0,8,"[0, 13, 12, 1, 140, 141, 139, 27, 8]",59.0,"[2, 60, 10, 13, 206, 205, 90, 43]",8
0,8,"[0, 13, 12, 1, 31, 138, 137, 136, 19, 30, 8]",60.0,"[2, 60, 10, 12, 99, 204, 203, 75, 74, 44]",10
0,8,"[0, 13, 12, 1, 31, 35, 23, 27, 8]",60.0,"[2, 60, 10, 12, 98, 83, 81, 43]",8
0,9,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 25, 9]",77.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 85, 47]",12
0,9,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 25, 9]",79.0,"[2, 60, 10, 12, 92, 73, 74, 44, 42, 85, 47]",11
0,9,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 124, 24, 25, 9]",84.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 195, 86, 85, 47]",13
