src_node,dest_node,nodes,links,distance,num_hops
0,1,"[0, 13, 12, 1]","[2, 60, 10]",15.0,3
0,2,"[0, 13, 12, 1, 11, 2]","[2, 60, 10, 9, 15]",29.0,5
0,3,"[0, 14, 3]","[3, 19]",26.0,2
0,4,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 4]","[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 25]",52.12,11
0,5,"[0, 13, 12, 1, 31, 35, 23, 5]","[2, 60, 10, 12, 98, 83, 29]",35.31,7
1,0,"[1, 12, 13, 0]","[10, 60, 2]",15.0,3
1,2,"[1, 11, 2]","[9, 15]",14.0,2
1,3,"[1, 31, 35, 18, 3]","[12, 98, 71, 20]",36.0,4
1,4,"[1, 31, 28, 19, 30, 8, 124, 24, 4]","[12, 92, 73, 74, 44, 45, 86, 25]",37.12,8
1,5,"[1, 31, 35, 23, 5]","[12, 98, 83, 29]",20.31,4
2,0,"[2, 11, 1, 12, 13, 0]","[15, 9, 10, 60, 2]",29.0,5
2,1,"[2, 11, 1]","[15, 9]",14.0,2
2,3,"[2, 11, 1, 31, 35, 18, 3]","[15, 9, 12, 98, 71, 20]",50.0,6
2,4,"[2, 11, 1, 31, 28, 19, 30, 8, 124, 24, 4]","[15, 9, 12, 92, 73, 74, 44, 45, 86, 25]",51.12,10
2,5,"[2, 11, 1, 31, 35, 23, 5]","[15, 9, 12, 98, 83, 29]",34.31,6
3,0,"[3, 14, 0]","[19, 3]",26.0,2
3,1,"[3, 18, 35, 31, 1]","[20, 71, 98, 12]",36.0,4
3,2,"[3, 18, 35, 31, 1, 11, 2]","[20, 71, 98, 12, 9, 15]",50.0,6
3,4,"[3, 18, 35, 31, 28, 19, 30, 8, 124, 24, 4]","[20, 71, 98, 92, 73, 74, 44, 45, 86, 25]",67.12,10
3,5,"[3, 18, 35, 23, 5]","[20, 71, 83, 29]",36.31,4
4,0,"[4, 24, 124, 8, 30, 19, 28, 31, 1, 12, 13, 0]","[25, 86, 45, 44, 74, 73, 92, 12, 10, 60, 2]",52.12,11
4,1,"[4, 24, 124, 8, 30, 19, 28, 31, 1]","[25, 86, 45, 44, 74, 73, 92, 12]",37.12,8
4,2,"[4, 24, 124, 8, 30, 19, 28, 31, 1, 11, 2]","[25, 86, 45, 44, 74, 73, 92, 12, 9, 15]",51.12,10
4,3,"[4, 24, 124, 8, 30, 19, 28, 31, 35, 18, 3]","[25, 86, 45, 44, 74, 73, 92, 98, 71, 20]",67.12,10
4,5,"[4, 53, 52, 54, 5]","[28, 131, 132, 33]",42.2,4
5,0,"[5, 23, 35, 31, 1, 12, 13, 0]","[29, 83, 98, 12, 10, 60, 2]",35.31,7
5,1,"[5, 23, 35, 31, 1]","[29, 83, 98, 12]",20.31,4
5,2,"[5, 23, 35, 31, 1, 11, 2]","[29, 83, 98, 12, 9, 15]",34.31,6
5,3,"[5, 23, 35, 18, 3]","[29, 83, 71, 20]",36.31,4
5,4,"[5, 54, 52, 53, 4]","[33, 132, 131, 28]",42.2,4
