primary_path,secondary_path,numHops_secondary,distance_secondary
0.0,9.0,4.0,37.0
0.0,10.0,4.0,38.0
9.0,0.0,3.0,30.0
10.0,0.0,3.0,30.0
15.0,24.0,5.0,47.0
15.0,25.0,5.0,48.0
24.0,15.0,2.0,20.0
25.0,15.0,2.0,20.0
39.0,30.0,4.0,35.5
40.0,30.0,4.0,35.5
30.0,39.0,3.0,31.5
30.0,40.0,3.0,32.5
45.0,55.0,6.0,57.0
45.0,56.0,6.0,58.0
55.0,45.0,1.0,10.0
56.0,45.0,1.0,10.0
70.0,63.0,6.0,60.0
63.0,70.0,1.0,8.0
85.0,78.0,5.0,56.0
86.0,78.0,5.0,56.0
78.0,85.0,2.0,11.0
78.0,86.0,2.0,12.0
101.0,94.0,6.0,61.5
94.0,101.0,1.0,5.5
121.0,107.0,5.0,44.2
121.0,109.0,5.0,64.5
107.0,121.0,1.0,4.5
109.0,121.0,1.0,4.5
144.0,130.0,4.0,39.7
144.0,132.0,4.0,60.0
130.0,144.0,2.0,9.0
132.0,144.0,2.0,9.0
169.0,154.0,3.0,52.0
154.0,169.0,3.0,17.0
179.0,197.0,4.0,39.0
197.0,179.0,2.0,30.0
205.0,221.0,4.0,18.7
221.0,205.0,2.0,30.0
247.0,231.0,3.0,32.5
231.0,247.0,3.0,16.2
270.0,257.0,2.0,26.5
257.0,270.0,2.0,15.7
257.0,272.0,4.0,35.7
272.0,257.0,2.0,26.5
276.0,285.0,3.0,22.2
276.0,286.0,5.0,28.7
276.0,287.0,5.0,42.2
276.0,288.0,5.0,49.0
285.0,276.0,1.0,20.0
286.0,276.0,1.0,20.0
287.0,276.0,1.0,20.0
288.0,276.0,1.0,20.0
304.0,291.0,3.0,27.2
291.0,304.0,1.0,15.0
291.0,305.0,3.0,35.0
305.0,291.0,3.0,27.2
325.0,310.0,4.0,36.2
310.0,325.0,2.0,26.0
344.0,330.0,5.0,45.2
330.0,344.0,1.0,17.0
359.0,350.0,4.0,35.5
360.0,350.0,4.0,35.5
350.0,359.0,3.0,31.5
350.0,360.0,3.0,32.5
365.0,374.0,4.0,37.0
365.0,375.0,4.0,38.0
374.0,365.0,3.0,30.0
375.0,365.0,3.0,30.0
380.0,389.0,5.0,47.0
380.0,390.0,5.0,48.0
389.0,380.0,2.0,20.0
390.0,380.0,2.0,20.0
395.0,405.0,6.0,57.0
395.0,406.0,6.0,58.0
405.0,395.0,1.0,10.0
406.0,395.0,1.0,10.0
426.0,411.0,3.0,52.0
411.0,426.0,3.0,17.0
436.0,454.0,4.0,39.0
454.0,436.0,2.0,30.0
476.0,462.0,4.0,39.7
476.0,464.0,4.0,60.0
462.0,476.0,2.0,9.0
464.0,476.0,2.0,9.0
501.0,485.0,3.0,32.5
485.0,501.0,3.0,16.2
511.0,527.0,4.0,18.7
527.0,511.0,2.0,30.0
537.0,546.0,3.0,22.2
537.0,547.0,5.0,28.7
537.0,548.0,5.0,42.2
537.0,549.0,5.0,49.0
546.0,537.0,1.0,20.0
547.0,537.0,1.0,20.0
548.0,537.0,1.0,20.0
549.0,537.0,1.0,20.0
566.0,552.0,5.0,44.2
566.0,554.0,5.0,64.5
552.0,566.0,1.0,4.5
554.0,566.0,1.0,4.5
588.0,575.0,2.0,26.5
575.0,588.0,2.0,15.7
575.0,590.0,4.0,35.7
590.0,575.0,2.0,26.5
609.0,594.0,4.0,36.2
594.0,609.0,2.0,26.0
628.0,614.0,5.0,45.2
614.0,628.0,1.0,17.0
647.0,634.0,3.0,27.2
634.0,647.0,1.0,15.0
634.0,648.0,3.0,35.0
648.0,634.0,3.0,27.2
663.0,656.0,6.0,60.0
656.0,663.0,1.0,8.0
679.0,672.0,6.0,61.5
672.0,679.0,1.0,5.5
694.0,687.0,5.0,56.0
695.0,687.0,5.0,56.0
687.0,694.0,2.0,11.0
687.0,695.0,2.0,12.0
720.0,729.0,6.0,61.5
720.0,703.0,8.0,72.5
720.0,716.0,9.0,92.5
720.0,713.0,10.0,89.5
729.0,720.0,1.0,5.5
703.0,720.0,1.0,5.5
716.0,720.0,1.0,5.5
713.0,720.0,1.0,5.5
756.0,764.0,5.0,56.0
756.0,738.0,7.0,67.0
756.0,748.0,8.0,87.0
756.0,743.0,9.0,84.0
757.0,764.0,5.0,56.0
757.0,738.0,7.0,67.0
757.0,748.0,8.0,87.0
757.0,743.0,9.0,84.0
764.0,756.0,2.0,11.0
764.0,757.0,2.0,12.0
738.0,756.0,2.0,11.0
738.0,757.0,2.0,12.0
748.0,756.0,2.0,11.0
748.0,757.0,2.0,12.0
743.0,756.0,2.0,11.0
743.0,757.0,2.0,12.0
791.0,800.0,6.0,60.0
791.0,774.0,8.0,71.0
791.0,787.0,9.0,91.0
791.0,784.0,10.0,88.0
800.0,791.0,1.0,8.0
774.0,791.0,1.0,8.0
787.0,791.0,1.0,8.0
784.0,791.0,1.0,8.0
827.0,836.0,5.0,44.2
827.0,838.0,5.0,64.5
827.0,807.0,7.0,55.2
827.0,812.0,7.0,75.5
827.0,811.0,8.0,75.2
827.0,821.0,8.0,95.5
827.0,809.0,9.0,72.2
827.0,818.0,9.0,92.5
827.0,817.0,10.0,92.2
836.0,827.0,1.0,4.5
838.0,827.0,1.0,4.5
807.0,827.0,1.0,4.5
812.0,827.0,1.0,4.5
811.0,827.0,1.0,4.5
821.0,827.0,1.0,4.5
809.0,827.0,1.0,4.5
818.0,827.0,1.0,4.5
817.0,827.0,1.0,4.5
870.0,879.0,4.0,39.7
870.0,881.0,4.0,60.0
870.0,850.0,6.0,50.7
870.0,854.0,6.0,71.0
870.0,853.0,7.0,70.7
870.0,862.0,7.0,91.0
870.0,852.0,8.0,67.7
870.0,860.0,8.0,88.0
870.0,859.0,9.0,87.7
870.0,869.0,9.0,108.0
879.0,870.0,2.0,9.0
881.0,870.0,2.0,9.0
850.0,870.0,2.0,9.0
854.0,870.0,2.0,9.0
853.0,870.0,2.0,9.0
862.0,870.0,2.0,9.0
852.0,870.0,2.0,9.0
860.0,870.0,2.0,9.0
859.0,870.0,2.0,9.0
869.0,870.0,2.0,9.0
913.0,924.0,3.0,52.0
913.0,894.0,5.0,63.0
913.0,899.0,6.0,83.0
913.0,898.0,7.0,80.0
913.0,906.0,8.0,100.0
924.0,913.0,3.0,17.0
894.0,913.0,3.0,17.0
899.0,913.0,3.0,17.0
898.0,913.0,3.0,17.0
906.0,913.0,3.0,17.0
959.0,965.0,3.0,27.2
959.0,939.0,5.0,38.2
959.0,941.0,6.0,58.2
959.0,940.0,7.0,55.2
959.0,943.0,8.0,75.2
965.0,959.0,1.0,15.0
965.0,960.0,3.0,35.0
960.0,965.0,3.0,27.2
960.0,939.0,5.0,38.2
960.0,941.0,6.0,58.2
960.0,940.0,7.0,55.2
960.0,943.0,8.0,75.2
939.0,959.0,1.0,15.0
939.0,960.0,3.0,35.0
941.0,959.0,1.0,15.0
941.0,960.0,3.0,35.0
940.0,959.0,1.0,15.0
940.0,960.0,3.0,35.0
943.0,959.0,1.0,15.0
943.0,960.0,3.0,35.0
998.0,1004.0,5.0,45.2
998.0,978.0,7.0,56.2
998.0,981.0,8.0,76.2
998.0,980.0,9.0,73.2
998.0,986.0,10.0,93.2
1004.0,998.0,1.0,17.0
978.0,998.0,1.0,17.0
981.0,998.0,1.0,17.0
980.0,998.0,1.0,17.0
986.0,998.0,1.0,17.0
1039.0,1044.0,4.0,36.2
1039.0,1018.0,6.0,47.2
1039.0,1020.0,7.0,67.2
1039.0,1019.0,8.0,64.2
1039.0,1023.0,9.0,84.2
1044.0,1039.0,2.0,26.0
1018.0,1039.0,2.0,26.0
1020.0,1039.0,2.0,26.0
1019.0,1039.0,2.0,26.0
1023.0,1039.0,2.0,26.0
1078.0,1088.0,3.0,32.5
1078.0,1058.0,5.0,43.5
1078.0,1060.0,6.0,63.5
1078.0,1059.0,7.0,60.5
1078.0,1063.0,8.0,80.5
1088.0,1078.0,3.0,16.2
1058.0,1078.0,3.0,16.2
1060.0,1078.0,3.0,16.2
1059.0,1078.0,3.0,16.2
1063.0,1078.0,3.0,16.2
1134.0,1124.0,4.0,18.7
1124.0,1134.0,2.0,30.0
1124.0,1104.0,4.0,41.0
1124.0,1106.0,5.0,61.0
1124.0,1105.0,6.0,58.0
1124.0,1108.0,7.0,78.0
1104.0,1124.0,4.0,18.7
1106.0,1124.0,4.0,18.7
1105.0,1124.0,4.0,18.7
1108.0,1124.0,4.0,18.7
1176.0,1170.0,3.0,22.2
1176.0,1171.0,5.0,28.7
1176.0,1172.0,5.0,42.2
1176.0,1173.0,5.0,49.0
1170.0,1176.0,1.0,20.0
1170.0,1150.0,3.0,31.0
1170.0,1152.0,4.0,51.0
1170.0,1151.0,5.0,48.0
1170.0,1153.0,6.0,68.0
1150.0,1170.0,3.0,22.2
1150.0,1171.0,5.0,28.7
1150.0,1172.0,5.0,42.2
1150.0,1173.0,5.0,49.0
1152.0,1170.0,3.0,22.2
1152.0,1171.0,5.0,28.7
1152.0,1172.0,5.0,42.2
1152.0,1173.0,5.0,49.0
1171.0,1176.0,1.0,20.0
1171.0,1150.0,3.0,31.0
1171.0,1152.0,4.0,51.0
1171.0,1151.0,5.0,48.0
1171.0,1153.0,6.0,68.0
1172.0,1176.0,1.0,20.0
1172.0,1150.0,3.0,31.0
1172.0,1152.0,4.0,51.0
1172.0,1151.0,5.0,48.0
1172.0,1153.0,6.0,68.0
1151.0,1170.0,3.0,22.2
1151.0,1171.0,5.0,28.7
1151.0,1172.0,5.0,42.2
1151.0,1173.0,5.0,49.0
1173.0,1176.0,1.0,20.0
1173.0,1150.0,3.0,31.0
1173.0,1152.0,4.0,51.0
1173.0,1151.0,5.0,48.0
1173.0,1153.0,6.0,68.0
1153.0,1170.0,3.0,22.2
1153.0,1171.0,5.0,28.7
1153.0,1172.0,5.0,42.2
1153.0,1173.0,5.0,49.0
1205.0,1211.0,2.0,26.5
1205.0,1185.0,4.0,37.5
1205.0,1187.0,5.0,57.5
1205.0,1186.0,6.0,54.5
1205.0,1188.0,7.0,74.5
1211.0,1205.0,2.0,15.7
1211.0,1207.0,4.0,35.7
1207.0,1211.0,2.0,26.5
1207.0,1185.0,4.0,37.5
1207.0,1187.0,5.0,57.5
1207.0,1186.0,6.0,54.5
1207.0,1188.0,7.0,74.5
1185.0,1205.0,2.0,15.7
1185.0,1207.0,4.0,35.7
1187.0,1205.0,2.0,15.7
1187.0,1207.0,4.0,35.7
1186.0,1205.0,2.0,15.7
1186.0,1207.0,4.0,35.7
1188.0,1205.0,2.0,15.7
1188.0,1207.0,4.0,35.7
1254.0,1246.0,4.0,39.0
1246.0,1254.0,2.0,30.0
1246.0,1224.0,4.0,41.0
1246.0,1226.0,5.0,61.0
1246.0,1225.0,6.0,58.0
1246.0,1227.0,7.0,78.0
1224.0,1246.0,4.0,39.0
1226.0,1246.0,4.0,39.0
1225.0,1246.0,4.0,39.0
1227.0,1246.0,4.0,39.0
1296.0,1290.0,4.0,37.0
1296.0,1291.0,4.0,38.0
1290.0,1296.0,3.0,30.0
1290.0,1270.0,5.0,41.0
1290.0,1272.0,6.0,61.0
1290.0,1271.0,7.0,58.0
1290.0,1273.0,8.0,78.0
1291.0,1296.0,3.0,30.0
1291.0,1270.0,5.0,41.0
1291.0,1272.0,6.0,61.0
1291.0,1271.0,7.0,58.0
1291.0,1273.0,8.0,78.0
1270.0,1290.0,4.0,37.0
1270.0,1291.0,4.0,38.0
1272.0,1290.0,4.0,37.0
1272.0,1291.0,4.0,38.0
1271.0,1290.0,4.0,37.0
1271.0,1291.0,4.0,38.0
1273.0,1290.0,4.0,37.0
1273.0,1291.0,4.0,38.0
1331.0,1325.0,5.0,47.0
1331.0,1326.0,5.0,48.0
1305.0,1325.0,5.0,47.0
1305.0,1326.0,5.0,48.0
1325.0,1331.0,2.0,20.0
1325.0,1305.0,4.0,31.0
1325.0,1307.0,5.0,51.0
1325.0,1306.0,6.0,48.0
1325.0,1308.0,7.0,68.0
1326.0,1331.0,2.0,20.0
1326.0,1305.0,4.0,31.0
1326.0,1307.0,5.0,51.0
1326.0,1306.0,6.0,48.0
1326.0,1308.0,7.0,68.0
1307.0,1325.0,5.0,47.0
1307.0,1326.0,5.0,48.0
1306.0,1325.0,5.0,47.0
1306.0,1326.0,5.0,48.0
1308.0,1325.0,5.0,47.0
1308.0,1326.0,5.0,48.0
1366.0,1361.0,6.0,57.0
1366.0,1362.0,6.0,58.0
1340.0,1361.0,6.0,57.0
1340.0,1362.0,6.0,58.0
1342.0,1361.0,6.0,57.0
1342.0,1362.0,6.0,58.0
1341.0,1361.0,6.0,57.0
1341.0,1362.0,6.0,58.0
1361.0,1366.0,1.0,10.0
1361.0,1340.0,3.0,21.0
1361.0,1342.0,4.0,41.0
1361.0,1341.0,5.0,38.0
1361.0,1343.0,6.0,58.0
1343.0,1361.0,6.0,57.0
1343.0,1362.0,6.0,58.0
1362.0,1366.0,1.0,10.0
1362.0,1340.0,3.0,21.0
1362.0,1342.0,4.0,41.0
